ID,CITY,LATITUDE,LONGITUDE,MAGNITUDE,DEPTH
1,"Rupnagar, Punjab",30.93,76.43,3.2,10 Km
2,"Rohtak, Haryana",28.86,76.67,2.6,5 Km
3,Nepal,28.84,82.19,6.4,10 Km
4,"Delhi-NCR region, India",28.41,77.41,3.1,10Km
5,"Manipur's Ukhrul district, india",25.13,94.67,4,10Km
6,Nicobar Islands,9.32,94.03,5,10Km
7,"Bengal, India",15.32,92.84,3.9,10Km
8,"Mangan, Sikkim, India",27.3,88.6 ,4,65Km
9,"76 km from Wangjing, Manipur, India",24.5 ,94.5 ,4.8,10km
10,"Andaman and Nicobar Islands, India",12.9 ,92.6,4.9,10km
11,"Tawang, Arunachal Pradesh",27.32,92.01,3.6,5 Km
